,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Abdul_Hosein_N,0.042115,0.063978,-0.154117,0.001077,-0.119407,0.021289,0.010419,-0.002308,-0.080991,-0.057283,-0.002436,-0.002148,0.004014,-0.009634,0.031487,0.055511,-0.006737,0.006123,0.013114,-0.035184,0.006281,-0.02506,-0.008545,-0.037475,0.019958
Abkhasian,0.108891,0.115432,-0.047559,-0.039837,-0.03929,-0.005609,0.01162,-0.005641,-0.061266,-0.022577,-0.002797,0.009225,-0.023356,0.003777,0.002473,-0.02335,0.011488,-0.005729,-0.011341,0.020176,0.01349,0.002762,0.003506,-0.007966,-0.002116
Adygei,0.112996,0.099892,-0.025473,-0.015945,-0.031167,-0.000177,0.008823,-0.002601,-0.050183,-0.024503,0.000118,0.007207,-0.01811,0.003641,0.003825,-0.015477,0.007953,-0.004561,-0.011576,0.018395,0.009461,0.000989,0.001703,-0.005948,-0.002558
Aeta,-0.016504,-0.333094,-0.092395,0.033269,0.104173,-0.006554,0.00235,-0.013961,0.004704,0.001458,0.042465,0.001948,-0.00721,0.001858,0.004682,6.6e-05,0.008671,0.007158,0.00088,0.003189,0.003369,-0.01793,-0.006039,-0.007471,-0.054366
Afanasievo,0.124522,0.089062,0.04203,0.112614,-0.030683,0.046547,0.002021,-0.001881,-0.058463,-0.077979,-0.000747,0.000307,-0.001702,-0.021235,0.039556,0.009102,-0.008644,-0.002496,-0.003186,0.011243,-0.004835,0.002034,0.013594,0.024497,-0.003233
AfontovaGora3,0.093335,-0.01828,0.083344,0.231592,-0.091402,0.042949,-0.063688,-0.077997,-0.035383,-0.096403,0.047255,-0.010491,0.023637,-0.074454,0.020494,0.02254,-0.012908,0.003801,-0.00352,0.000625,-0.03706,0.015209,0.013927,0.009278,-0.005269
Agta,-0.021057,-0.33157,-0.0956,0.034238,0.104481,-0.013945,0.000118,-0.009115,0.007056,0.001367,0.041084,0.004571,-0.00446,-0.006262,0.003732,0.000265,0.009453,0.011655,0.005091,0.003564,-0.000749,-0.028193,-0.011524,-0.008134,-0.061551
Ak_Moustafa_MLBA1,0.127482,0.114755,0.052797,0.072352,0.017849,0.037092,0.000705,0.001154,-0.009613,-0.024055,-0.005684,-0.004646,0.003271,-0.008533,0.026601,0.006629,-0.02373,0.004054,-0.002765,-0.004627,0.001373,0.005317,0.001356,0.004579,0.007784
Aktogai_MLBA,0.123783,0.113232,0.058359,0.079378,0.008694,0.029911,0.006169,0.002192,-0.015697,-0.027381,-0.001908,0.001274,-0.000855,-0.02288,0.021715,0.01127,-0.006715,-0.000728,-0.002168,0.002876,-0.004929,0.005163,-0.000801,0.00479,-0.001587
Alan,0.107221,0.104193,-0.02308,-0.007494,-0.028928,0.002622,0.006251,-0.004292,-0.046263,-0.025695,0.005164,0.007313,-0.016204,-0.006688,0.00703,-0.003633,0.006337,-0.0075,-0.008598,0.004077,0.005266,0.004971,0.001454,-0.000675,-0.002539
Albanian,0.120327,0.141594,0.015839,-0.016335,0.025587,-0.006534,0.005103,0.003989,2.9e-05,0.015204,0.00065,0.001178,-0.006456,0.00871,-0.021521,-0.006421,0.004787,0.002534,0.008619,-0.006396,-0.004403,0.000742,0.002113,0.003012,-0.000633
Alberstedt_LN,0.130897,0.129988,0.04978,0.052649,0.028005,0.019522,0.003055,0.005538,0.005522,-0.00328,-0.004547,0.005845,-0.008176,-0.016377,0.008415,0.004906,0,0.005321,0.005028,0.000875,-0.004492,0.002473,-0.001849,0.005663,-0.000718
Aleut,0.075692,-0.19092,0.101068,0.055233,-0.05678,-0.00753,-0.072618,-0.086535,-0.002966,-0.024329,0.010799,-0.006369,0.006244,-0.002271,-0.013301,-0.002718,0.002021,0.003041,0.007793,0.008254,0.004679,-0.019352,0.002157,0.010724,0.014729
Algerian,-0.060782,0.134253,-0.006562,-0.067895,0.024682,-0.03118,-0.025945,0.008907,0.055794,0.027518,0.004904,-0.004946,0.020188,-0.011781,0.015635,-0.015142,-0.002712,-0.01804,-0.033033,0.006328,-0.014425,-0.026486,0.022998,-0.001157,0.000766
Aligrama_IA,0.060042,-0.031989,-0.130578,0.078732,-0.085785,0.047481,0.001116,0.003288,-0.0045,-0.00369,-0.007064,-0.002548,0.00171,-0.00726,0.006277,0.012828,0.003227,0.000317,-0.002263,-0.007441,0.001591,-0.007388,-0.000462,-0.006477,0.002874
Alpamsa_MLBA_Alakul,0.099026,-0.03859,0.054682,0.059755,-0.031698,0.00753,0.00141,0,-0.015748,-0.029522,-0.008931,-0.004946,0.006095,-0.026011,0.014929,0.010342,0.003912,-0.001014,0.000126,0.013131,-0.017469,0.004328,0.000246,-0.001325,0.006347
ALPc_MN,0.124482,0.176425,0.028593,-0.067713,0.067257,-0.035039,-0.001303,0.000357,0.046185,0.080316,0.005639,0.009591,-0.020529,0.004291,-0.0334,-0.006955,0.014722,0.003605,0.011781,-0.007163,-0.004583,0.007172,-0.009927,-0.016213,-0.005247
Altai_IA,0.082332,-0.148945,0.016216,0.028317,-0.048522,-0.002231,-0.00047,0,-0.016157,-0.020532,-0.006929,-0.002198,0.002527,-0.024313,0.013255,0.011403,-0.000782,0.000633,-0.001592,0.008504,-0.025039,0.00169,-0.004108,-0.004177,-0.004431
Altaian,0.056912,-0.291287,0.067819,-0.008667,-0.061499,-0.024124,0.012142,0.015922,0.001841,0.001671,-0.019027,-0.002098,0.000991,-0.011469,-0.001131,0.00232,-0.001326,-0.00152,0.00993,0.015945,-0.024332,0.001319,-0.014625,-0.000924,-0.003553
Amerindian_North,0.052928,-0.328016,0.112005,0.07744,-0.106174,-0.018407,-0.198349,-0.234798,-0.003733,-0.020137,0.008282,-0.003409,0.006392,6.9e-05,-0.015133,-0.004508,-0.000522,0.003262,0.011501,0.007347,0.003868,-0.010758,0.002711,0.006206,0.009281
Ami,0.019065,-0.450387,-0.047266,-0.067292,0.14218,0.063843,-0.005915,-0.01448,-0.022532,-0.022339,0.047823,0.003934,-0.005575,-0.001709,0.007329,0.005536,-0.003836,0.005331,0.008401,-0.019228,0.010575,-0.027647,0.002711,-0.006547,-0.055085
Anatolia_BA,0.10927,0.156899,-0.036204,-0.077036,0.000615,-0.023287,-0.00282,-0.005077,-0.009101,0.031436,0.007389,0.009142,-0.012859,0.005987,-0.02219,0.002585,0.016689,-0.005511,0.004022,-0.004064,-0.004617,-0.005935,-0.001417,-0.002892,-0.002335
Anatolia_ChL,0.114961,0.146236,-0.037335,-0.061047,-0.006463,-0.021475,0.00705,-0.011076,-0.016157,0.021322,0.007145,0.009292,-0.015907,-0.005505,-0.012215,-0.012463,0.009388,-0.005954,-0.005279,-0.012006,0.002496,0.009027,-0.004437,-0.005904,-0.009819
Anatolia_EBA,0.09675,0.151314,-0.045632,-0.079458,-0.005437,-0.0251,-0.000862,-0.005231,-0.00859,0.024116,0.006441,0.007194,-0.008573,-0.003624,-0.016422,0.002784,0.014777,0.005279,0.002598,-0.001584,-0.001331,0.003215,-0.003163,0.002571,-0.00479
Anatolia_IA,0.099595,0.102061,0.013011,-0.024387,0.008463,-0.011992,-0.009635,0.001269,-0.012374,0.018588,0.003004,-0.002098,-0.00171,-0.00234,-0.006854,-0.002121,0.013234,0.003104,0.005154,-0.000875,-0.014724,-0.003771,-6.2e-05,-0.006326,-0.001437
Anatolia_MLBA,0.10062,0.148877,-0.039145,-0.079588,-0.002524,-0.023985,0.004042,-0.005169,-0.008795,0.023545,0.008607,0.005095,-0.011625,0.007569,-0.013898,-0.002307,0.006128,-0.003573,0.012142,-0.006703,-0.000324,0.002448,-0.005521,0.001591,-0.003257
Andronovo,0.10927,0.090382,0.055814,0.070737,0.002154,0.031515,0.00893,-0.000462,-0.009613,-0.022962,0.01023,0.005095,-0.004311,-0.025598,0.018051,0.007292,-0.002477,0.003294,-0.000754,-0.005878,-0.006863,0.010016,-0.001849,0.018436,0.001437
Arkotkila_IA,0.069432,0.004062,-0.107857,0.0646,-0.088632,0.044065,0.00423,-0.001385,-0.027202,-0.02606,-0.01429,0.006594,0.0055,-0.003441,0.008822,0.021612,0.016037,0.001014,0.002388,-0.008129,-0.001622,0.007543,0.002711,0.000602,0.011017
Armenia_ChL,0.111547,0.13278,-0.031678,-0.028182,-0.027928,-0.005508,0.002174,-0.007384,-0.023725,-0.006879,0.007104,0.006444,-0.00669,-0.003991,-0.006073,-0.010044,-0.009779,0.00266,0.000943,-0.007003,-0.002901,0.002689,0.001417,-0.003223,0.00479
Armenia_EBA,0.107753,0.128634,-0.065242,-0.045113,-0.048932,-0.00344,0.009479,-0.005154,-0.056244,-0.016948,0.003139,0.009142,-0.014222,0.003165,0.005338,-0.000442,0.012256,-0.000971,-0.002598,0.000292,0.007528,-0.004122,0.004642,-0.00237,-0.001597
Armenia_MLBA,0.103579,0.122371,-0.031678,-0.013566,-0.035083,-0.002789,0.00329,-0.006461,-0.053483,-0.018861,0.004141,0,-0.007656,0.00172,0.014047,-0.000133,0.000913,-0.003674,0.000691,-0.000125,0.00549,0.00136,0.005485,-0.000843,0.000958
Armenian,0.103693,0.137198,-0.059019,-0.061532,-0.029482,-0.016594,0.00423,-0.006784,-0.031599,-0.004173,0.002355,0.000165,-0.003806,0.002739,-0.005144,-0.002201,-0.00103,0.001748,0.003256,-0.001763,0.001447,0.001632,-0.002403,-0.001386,0.002994
Ashkenazi_Jew,0.097562,0.136517,-0.011044,-0.045682,0.010024,-0.016733,-0.002417,-0.001879,0.008678,0.013069,0.002621,-0.000878,0.003334,0.00055,-0.005351,1.9e-05,-0.006501,0.00029,-0.001203,-0.002858,-0.002228,-0.002102,-7e-05,0.001153,0.001403
Assyrian,0.097888,0.132019,-0.062191,-0.06231,-0.031978,-0.017342,0.005811,-0.005727,-0.024506,-0.003794,0.004237,-0.001471,0.004717,-3e-04,-0.002751,0.008088,-0.000604,0.00114,0.001177,-0.005002,-0.002779,0.002316,-0.000112,-0.002552,0.002852
Asur,0.010244,-0.198028,-0.178378,0.120157,-0.028467,0.066655,-0.00658,0.017076,0.077821,0.047837,0.02111,0.002473,-0.004831,0.010803,-0.020358,-0.023203,0.009844,0.00095,-0.001634,0.023386,0.002558,0.016569,-0.001541,0.009459,0.004131
Atayal,0.015366,-0.444294,-0.043143,-0.068541,0.135164,0.06144,-0.002867,-0.01403,-0.022968,-0.019153,0.037869,0.004151,-0.003761,0.002601,0.013681,0.008406,-0.00442,0.004333,0.005707,-0.01607,0.003706,-0.024706,-0.000604,-0.006314,-0.050295
Australian,-0.041887,-0.23215,-0.208171,0.229266,0.140519,-0.336844,0.00094,0.004384,-0.007976,0.001021,-0.006138,-0.00021,0.001041,-0.000633,-0.003257,-0.000955,0.010665,0.000152,-0.002514,0.007854,0.005016,0.001731,-0.004018,0.002265,-0.004598
Austrian,0.13101,0.135776,0.053513,0.036338,0.036807,0.013024,0.007309,0.007246,0.002311,0.003718,-0.005391,0.002877,-0.003984,-0.000647,0.006325,0.002121,-0.005163,0.002584,0.003256,-7e-04,-5e-05,0.000272,-0.000185,0.005965,-0.001868
Avar,0.11534,0.107308,-0.024513,0.012813,-0.044111,0.009575,0.009635,-0.004461,-0.056312,-0.039727,0.001407,0.005145,-0.009861,-0.005826,0.014794,-0.006364,-0.00465,-0.002492,-0.004735,0.002626,-0.002204,0.004163,0.0053,0.009399,-0.000758
Azeri,0.092197,0.08896,-0.049931,-0.040634,-0.03733,-0.003263,0.004536,-0.004061,-0.027631,-0.010315,0.000309,0.00039,-7.4e-05,-0.000908,0.000529,0.0024,-0.004433,0.001356,0.002149,-0.005715,0.000686,-0.002152,-0.001146,-0.003603,0.001138
Azeri_Dagestan,0.105173,0.100741,-0.039673,-0.015504,-0.040192,0.002398,0.005311,-0.004707,-0.045036,-0.025841,-0.000844,0.003117,-0.005173,-0.002477,0.009772,0.000212,-0.001278,-0.002559,-0.002841,-0.003527,-0.001223,-0.000445,0.002243,0.001036,0.000982
Azeri_Iran,0.093461,0.088972,-0.049843,-0.03894,-0.036674,-0.004648,0.005275,-0.004243,-0.028906,-0.01141,-0.000514,-0.000358,0.000685,-0.000925,0.001169,0.005613,-0.002955,0.001253,0.002395,-0.005155,0.000707,-0.002446,-0.002191,-0.002397,0.00169
Baden_LCA,0.127909,0.17556,0.033045,-0.061855,0.07059,-0.03141,-0.002438,-0.00026,0.045941,0.078134,0.003694,0.013113,-0.022095,0.001514,-0.028942,-0.007259,0.012973,0.003658,0.01356,-0.008473,-0.004601,0.006384,-0.004237,-0.017819,0.000614
Bajo,0.002655,-0.385563,-0.096668,0.01292,0.145976,-0.031886,-0.002193,-0.009461,-0.01718,-0.018284,0.050232,0.006145,-0.004856,-0.003028,0.005565,0.004066,0.000348,0.002196,0.003897,-0.00346,-0.004908,-0.014138,-0.004478,-0.002972,-0.026265
Balaton_Lasinja_CA,0.126799,0.179546,0.032659,-0.066861,0.06752,-0.034527,-0.004324,-0.001661,0.041518,0.08135,0.003085,0.014267,-0.018256,-0.001514,-0.030347,0.001405,0.022609,0.001343,0.006888,-0.006028,-0.004866,0.006356,-0.007986,-0.012604,-0.003664
Balkans_BA,0.124522,0.153446,0.031942,-0.014374,0.038561,-0.009064,-0.001105,0.000323,0.014276,0.03149,0.00302,0.0055,-0.012294,-0.003358,-0.011441,0.002943,0.010027,0.002927,0.003997,-0.005315,0.001323,0.003586,-0.005102,-0.008218,-0.001629
Balkans_ChL,0.121222,0.173232,0.017128,-0.073241,0.054215,-0.034211,-0.001097,-0.00025,0.033951,0.072029,0.003248,0.010328,-0.018409,-0.000803,-0.034179,-0.009557,0.014364,0.000771,0.010894,-0.010484,-0.008038,0.005204,-0.003317,-0.00728,-0.002974
Balkans_IA,0.126344,0.157407,0.007165,-0.051034,0.029852,-0.02259,0.00423,-0.001385,0.007772,0.032074,-0.001461,0.005695,-0.013974,-0.003028,-0.015065,-0.001458,0.01369,0.006968,0.006285,-0.014757,-0.006239,0.004699,-0.007888,0.003494,-0.008861
Balkans_N,0.123669,0.182237,0.010616,-0.093202,0.057349,-0.044316,-0.002327,-0.003646,0.042991,0.087519,0.007478,0.013533,-0.023377,-0.00053,-0.039834,-0.014466,0.018997,0.002002,0.010301,-0.011906,-0.00992,0.007475,-0.005454,-0.003892,-0.004862
Balkar,0.106994,0.084289,-0.022376,-0.015289,-0.033442,0.000837,0.008225,-0.005692,-0.054949,-0.027092,-0.004276,0.008692,-0.012438,0.001697,0.005565,-0.013922,0.006085,-0.004181,-0.008506,0.01484,0.006447,0.002349,-0.000822,-0.005623,-0.00475
Balochi,0.068619,0.049036,-0.102361,0.033154,-0.074234,0.032411,0.00517,0.002044,-0.022074,-0.02028,-0.003746,-0.001884,0.003993,-0.007677,0.017217,0.02917,-0.012573,0.003665,0.007515,-0.028299,-0.000963,-0.017647,0.001109,-0.019297,0.0152
Baltic_BA,0.132035,0.126306,0.099136,0.111072,0.049086,0.039219,0.015599,0.01999,-0.00248,-0.04909,-0.002253,-0.019614,0.031535,0.039945,-0.017881,6.6e-05,0.001532,-0.001283,0.001681,0.004956,-0.000437,-0.006198,0.007549,-0.020786,0.003907
Baltic_HG,0.133173,0.109677,0.184035,0.187018,0.136333,0.059404,0.01034,0.029999,0.069538,-0.008018,-0.014777,-0.017534,0.029137,0.000275,0.038002,0.059665,0.005867,-0.000633,-0.005028,0.046147,0.072871,0.012118,-0.035619,-0.130741,0.013412
Baltic_IA,0.135449,0.118817,0.092017,0.095931,0.050779,0.035977,0.012456,0.033229,0.001227,-0.03991,-0.00065,-0.017984,0.042517,0.041287,-0.005157,0.000133,-0.003781,0.007475,-0.007165,0.003877,0.013975,-0.01793,0.019473,-0.013978,0
Bantu_S.E.,-0.629315,0.063753,0.020197,0.017837,-0.001163,0.009451,0.02935,-0.012999,-0.02143,0.011461,0.002418,-0.007793,-0.011199,0.002294,-0.009817,0.006364,-0.005186,0.060318,-0.024916,0.003474,-0.004187,-0.000989,0.002342,0.001004,-0.000439
Bantu_S.W.,-0.622287,0.065864,0.018425,0.016012,0.000615,0.00757,0.001444,0.008934,-0.027435,0.017286,0.002853,-0.004646,-0.003037,0.001966,-0.005157,0.004887,-0.00339,0.02179,-0.010684,0.003788,-0.001177,0.000459,0.001497,0.000241,-0.000547
Bantu_Kenya,-0.605539,0.060594,0.016216,0.013782,0.00318,0.007065,-0.014022,0.026999,0.003204,-0.026606,-0.005359,0.018534,-0.040436,0.003211,-0.052162,0.036551,-0.031814,-0.002914,-0.017179,0.008212,0.000541,-0.000165,-0.005012,-0.003494,0.001158
Barcin_N,0.117978,0.181018,0.002715,-0.101019,0.051948,-0.047258,-0.00443,-0.007569,0.036784,0.080977,0.008542,0.012162,-0.022938,0.000771,-0.041198,-0.009096,0.023156,0.000741,0.012155,-0.009198,-0.013114,0.006127,-0.003882,-0.003326,-0.005137
Barikot_IA,0.070286,0.007363,-0.107951,0.064843,-0.079169,0.045947,0.006052,-0.001269,-0.020913,-0.013485,-0.005034,0.003859,0.000818,-0.009014,0.011909,0.010905,-0.002673,-0.000633,-0.003268,-0.01038,0.004866,-0.009274,0.00684,-0.00247,0.008293
Bashkir,0.089806,-0.112622,0.065016,0.030104,-0.037822,-0.002398,0.00933,0.010961,-0.006218,-0.019171,0.001575,-0.004346,0.008756,-0.020382,-0.006433,-0.0024,-0.000704,-0.000785,-0.002853,-0.004427,-0.007886,0.001298,-0.002354,0.001735,-0.00097
Basque_French,0.128051,0.152025,0.055173,0.012823,0.056411,0.00251,-0.00141,0.003323,0.030597,0.041204,-0.009272,0.010341,-0.020976,-0.014024,0.013219,-0.001936,-0.011917,0.003028,-0.000716,-0.004415,0.010157,0.002485,-0.00864,-0.00917,7.2e-05
Basque_Spanish,0.131908,0.150411,0.058286,0.009008,0.057583,0.000124,-0.003316,0.00041,0.03136,0.045599,-0.004529,0.011606,-0.022778,-0.018763,0.017945,0.003727,-0.005809,0.002773,-0.001816,-7e-05,0.00879,0.002487,-0.006888,-0.009037,0.002262
Batak,-0.006829,-0.356451,-0.097486,0.01615,0.116176,0.000418,-0.002468,-0.014192,-0.005215,-0.007381,0.051883,0.008467,-0.006169,0.002959,0.005565,0.004177,0.004498,0.004244,0.00729,-0.002439,-0.003743,-0.021268,-0.013865,-0.008134,-0.049277
Battle_Axe_Sweden,0.118945,0.121864,0.051854,0.066377,0.023851,0.026495,0.00705,0.001385,-0.018714,-0.018861,-0.001949,0.003822,-0.006764,-0.011285,0.020765,0.007955,-0.011604,0.001837,0.003959,0.001563,0.00443,-0.002597,0.002773,0.008375,-0.007544
Beaker_Britain,0.127286,0.123194,0.062901,0.066973,0.026965,0.022398,0.00252,0.003008,-0.002151,-0.010249,-0.003657,0.003928,-0.01117,-0.015006,0.026358,0.009592,-0.006141,0.001184,0.001777,0.00527,0.006093,0.003526,0.00014,0.004247,-0.001276
